	MuEff				
4	Ozone	number			
77	Mueff	number			
0.05	Mueff	step			
276	350	415	450	Ozon	number
0.541691689	0.513086267	0.461527943	0.43398092	1.1	
0.527946394	0.496658765	0.445700361	0.418492349	1.15	
0.514587618	0.480872664	0.430517893	0.403654942	1.2	
0.501608874	0.465708147	0.415959778	0.389447153	1.25	
0.489003671	0.451145731	0.402005624	0.375847829	1.3	
0.476765523	0.437166264	0.388635407	0.362836208	1.35	
0.464887941	0.423750929	0.375829473	0.350391922	1.4	
0.453364435	0.410881239	0.363568535	0.338494993	1.45	
0.442188519	0.398539043	0.351833674	0.327125838	1.5	
0.431353703	0.386706519	0.340606341	0.316265264	1.55	
0.420853499	0.375366181	0.329868354	0.305894471	1.6	
0.410681418	0.364500874	0.3196019	0.295995051	1.65	
0.400830973	0.354093775	0.309789536	0.28654899	1.7	
0.391295675	0.344128397	0.300414185	0.277538664	1.75	
0.382069034	0.334588582	0.291459138	0.268946842	1.8	
0.373144564	0.325458507	0.282908058	0.260756685	1.85	
0.364515776	0.31672268	0.274744974	0.252951749	1.9	
0.356176181	0.308365943	0.266954282	0.245515977	1.95	
0.34811929	0.30037347	0.25952075	0.23843371	2	
0.340338616	0.292730769	0.252429512	0.231689677	2.05	
0.332827669	0.285423679	0.24566607	0.225269001	2.1	
0.325579963	0.278438373	0.239216296	0.219157198	2.15	
0.318589007	0.271761357	0.233066431	0.213340174	2.2	
0.311848314	0.265379467	0.227203082	0.20780423	2.25	
0.305351396	0.259279875	0.221613227	0.202536057	2.3	
0.299091763	0.253450083	0.216284209	0.19752274	2.35	
0.293062928	0.247877929	0.211203744	0.192751755	2.4	
0.287258402	0.242551581	0.206359913	0.18821097	2.45	
0.281671696	0.23745954	0.201741166	0.183888648	2.5	
0.276296323	0.232590641	0.197336323	0.179773441	2.55	
0.271125794	0.22793405	0.193134571	0.175854395	2.6	
0.26615362	0.223479267	0.189125465	0.172120947	2.65	
0.261373313	0.219216125	0.18529893	0.168562929	2.7	
0.256778385	0.215134789	0.181645259	0.165170562	2.75	
0.252362347	0.211225756	0.178155112	0.161934461	2.8	
0.248118711	0.207479857	0.17481952	0.158845632	2.85	
0.244040989	0.203888255	0.17162988	0.155895477	2.9	
0.240122691	0.200442447	0.168577958	0.153075784	2.95	
0.23635733	0.19713426	0.16565589	0.15037874	3	
0.232738417	0.193955856	0.162856179	0.147796919	3.05	
0.229259464	0.19089973	0.160171696	0.14532329	3.1	
0.225913983	0.187958708	0.157595681	0.142951214	3.15	
0.222695484	0.185125949	0.155121744	0.140674444	3.2	
0.21959748	0.182394946	0.152743862	0.138487124	3.25	
0.216613482	0.179759524	0.150456379	0.136383793	3.3	
0.213737002	0.17721384	0.148254009	0.134359379	3.35	
0.210961551	0.174752386	0.146131836	0.132409206	3.4	
0.208280641	0.172369983	0.144085309	0.130528987	3.45	
0.205687784	0.170061788	0.142110249	0.128714828	3.5	
0.203176491	0.167823289	0.140202842	0.126963229	3.55	
0.200740273	0.165650307	0.138359644	0.125271081	3.6	
0.198372643	0.163538997	0.136577581	0.123635668	3.65	
0.196067112	0.161485845	0.134853946	0.122054664	3.7	
0.193817191	0.159487671	0.133186398	0.120526137	3.75	
0.191616392	0.157541626	0.131572969	0.119048549	3.8	
0.189458227	0.155645196	0.130012057	0.117620751	3.85	
0.187336207	0.153796197	0.128502428	0.116241989	3.9	
0.185243844	0.151992781	0.127043218	0.114911899	3.95	
0.18317465	0.15023343	0.12563393	0.11363051	4	
0.181122136	0.14851696	0.124274436	0.112398245	4.05	
0.179079813	0.146842519	0.122964976	0.111215916	4.1	
0.177041193	0.145209588	0.12170616	0.110084731	4.15	
0.174999789	0.143617981	0.120498965	0.109006287	4.2	
0.17294911	0.142067846	0.119344736	0.107982576	4.25	
0.17088267	0.14055966	0.118245188	0.10701598	4.3	
0.16879398	0.139094236	0.117202403	0.106109275	4.35	
0.16667655	0.137672718	0.116218833	0.105265627	4.4	
0.164523894	0.136296584	0.115297296	0.104488598	4.45	
0.162329521	0.134967645	0.114440981	0.103782138	4.5	
0.160086945	0.133688042	0.113653445	0.103150593	4.55	
0.157789676	0.132460252	0.112938611	0.102598698	4.6	
0.155431227	0.131287083	0.112300774	0.102131584	4.65	
0.153005108	0.130171675	0.111744594	0.10175477	4.7	
0.150504831	0.129117503	0.111275103	0.101474171	4.75	
0.147923909	0.128128372	0.110897698	0.101296091	4.8	
0.145255852	0.127208422	0.110618146	0.10122723	4.85	
0.142494172	0.126362125	0.110442584	0.101274678	4.9	
