DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];R12_P1;R23_P1;kz_obl_P1;R23clean/R23_P1;CorrectP1;OzoneP2[D.u.];R12_P2;R23_P2;kz_obl_P2;R23clean/R23_P2;CorrectP2
20250407 03:39:16;20250407 06:39:16;3,4;416;0,0284;0,7;1,0856;1,0922;1;402;0,0792;1,042;1,0462;1,0554;1
20250407 03:53:38;20250407 06:53:38;5,2;441;0,0255;0,7168;1,1018;1,1067;1;408;0,0865;1,0361;1,0682;1,0762;1
20250407 04:08:39;20250407 07:08:39;7,1;411;0,03;0,7641;1,0656;1,0739;1;404;0,1054;1,0755;1,0442;1,0535;1
20250407 04:23:39;20250407 07:23:39;8,9;418;0,0339;0,7966;1,0538;1,0627;1;407;0,1232;1,1007;1,0376;1,047;1
20250407 04:38:39;20250407 07:38:39;10,8;417;0,0404;0,8229;1,049;1,0582;1;406;0,1432;1,1161;1,0402;1,0496;1
20250407 04:53:36;20250407 07:53:36;12,7;419;0,0471;0,8337;1,062;1,0705;1;409;0,1596;1,1154;1,0574;1,0661;1
20250407 05:08:37;20250407 08:08:37;14,5;415;0,0572;0,8659;1,0436;1,053;1;411;0,1817;1,1466;1,0415;1,0509;1
20250407 05:23:38;20250407 08:23:38;16,4;415;0,0671;0,8924;1,0309;1,0405;1;410;0,2033;1,1675;1,0345;1,0441;1
20250407 05:38:39;20250407 08:38:39;18,2;417;0,0772;0,9153;1,0208;1,0304;1;412;0,2236;1,1918;1,0234;1,033;1
20250407 05:53:40;20250407 08:53:40;19,9;417;0,0865;0,9218;1,0273;1,0369;1;414;0,239;1,1942;1,0302;1,0398;1
20250407 06:08:40;20250407 09:08:40;21,7;418;0,098;0,9498;1,0087;1,0179;1;412;0,2605;1,2226;1,0137;1,0232;1
20250407 06:23:41;20250407 09:23:41;23,3;417;0,1083;0,9619;1,0063;1,0155;1;409;0,2773;1,232;1,0125;1,0219;1
20250407 06:38:42;20250407 09:38:42;25,0;418;0,1177;0,9724;1,0034;1,0124;1;410;0,2913;1,2413;1,0106;1,0199;1
20250407 06:53:43;20250407 09:53:43;26,5;420;0,1262;0,9803;1,0017;1,0107;1;409;0,3042;1,2473;1,0106;1,0199;1
20250407 07:09:14;20250407 10:09:14;28,0;424;0,1333;0,985;1,0024;1,0114;1;410;0,3135;1,2468;1,0146;1,0241;1
20250407 07:23:44;20250407 10:23:44;29,4;424;0,1408;0,9899;1,0017;1,0107;1;411;0,3232;1,2541;1,0115;1,0209;1
20250407 07:38:45;20250407 10:38:45;30,7;429;0,1458;0,9914;1,0039;1,0129;1;413;0,3294;1,2511;1,016;1,0255;1
20250407 07:53:45;20250407 10:53:45;31,9;431;0,1498;0,9884;1,0098;1,0191;1;412;0,3343;1,2427;1,0246;1,0342;1
20250407 08:08:14;20250407 11:08:14;32,9;436;0,138;0,8981;1,1223;1,1245;1;420;0,303;1,1326;1,1363;1,1362;1
20250407 08:23:46;20250407 11:23:46;34,0;433;0,1595;0,9937;1,0093;1,0186;1;414;0,3462;1,2485;1,0222;1,0318;1
20250407 08:39:17;20250407 11:39:17;34,8;435;0,1662;1,0144;0,9913;0,9996;1;414;0,358;1,2751;1,0021;1,0111;1
20250407 08:54:17;20250407 11:54:17;35,6;422;0,1513;0,8866;1,1471;1,1453;1;396;0,3154;1,0953;1,1875;1,1778;1
20250407 09:08:47;20250407 12:08:47;36,1;430;0,1603;0,9373;1,077;1,0844;1;412;0,3345;1,1723;1,0954;1,1009;1
20250407 09:23:48;20250407 12:23:48;36,6;436;0,1722;1,0114;0,9971;1,0058;1;416;0,3631;1,2679;1,009;1,0183;1
20250407 09:38:18;20250407 12:38:18;36,8;427;0,1553;0,891;1,1434;1,1422;1;410;0,3188;1,1125;1,1659;1,1606;1
20250407 09:53:50;20250407 12:53:50;37,0;435;0,175;1,0145;0,9949;1,0034;1;415;0,3675;1,2728;1,0055;1,0146;1
20250407 10:09:00;20250407 13:09:00;37,0;426;0,1548;0,8851;1,153;1,1502;1;413;0,3164;1,1092;1,1704;1,1642;1
20250407 10:23:51;20250407 13:23:51;36,8;435;0,1743;1,0155;0,9937;1,0021;1;415;0,3666;1,2746;1,004;1,0131;1
20250407 10:38:21;20250407 13:38:21;36,5;433;0,1681;0,9792;1,0291;1,0387;1;413;0,3526;1,227;1,0428;1,0522;1
20250407 10:53:52;20250407 13:53:52;36,0;436;0,1707;1,0151;0,9927;1,0011;1;415;0,3626;1,2726;1,0049;1,0141;1
20250407 11:08:53;20250407 14:08:53;35,4;435;0,1689;1,0151;0,9917;1,0;1;413;0,361;1,2731;1,0041;1,0132;1
20250407 11:23:54;20250407 14:23:54;34,7;433;0,1653;1,012;0,9931;1,0016;1;413;0,3564;1,2709;1,0052;1,0143;1
20250407 11:38:55;20250407 14:38:55;33,8;432;0,1613;1,0085;0,9947;1,0032;1;413;0,3512;1,2691;1,0058;1,0149;1
20250407 11:53:56;20250407 14:53:56;32,8;433;0,156;1,0056;0,9953;1,0039;1;413;0,3447;1,265;1,0078;1,0171;1
20250407 12:08:57;20250407 15:08:57;31,7;433;0,1496;1,002;0,9962;1,0048;1;415;0,337;1,2642;1,0071;1,0163;1
20250407 12:23:58;20250407 15:23:58;30,5;434;0,1428;0,9978;0,9971;1,0058;1;418;0,3274;1,2616;1,0074;1,0166;1
20250407 12:38:59;20250407 15:38:59;29,1;436;0,1346;0,9922;0,9988;1,0076;1;420;0,3171;1,257;1,0088;1,0181;1
20250407 12:54:00;20250407 15:54:00;27,7;438;0,1258;0,9846;1,0018;1,0108;1;425;0,3041;1,2539;1,0083;1,0176;1
20250407 13:09:00;20250407 16:09:00;26,2;435;0,1184;0,9776;1,0034;1,0124;1;424;0,2931;1,2477;1,0095;1,0188;1
20250407 13:24:01;20250407 16:24:01;24,7;433;0,1097;0,9649;1,0098;1,0191;1;425;0,2793;1,2377;1,0125;1,0219;1
20250407 13:39:02;20250407 16:39:02;23,1;429;0,1011;0,9529;1,0141;1,0235;1;424;0,265;1,2258;1,0165;1,026;1
20250407 13:54:02;20250407 16:54:02;21,4;430;0,091;0,9379;1,0194;1,0289;1;425;0,2487;1,2162;1,0178;1,0273;1
20250407 14:09:03;20250407 17:09:03;19,6;428;0,0812;0,9227;1,0241;1,0337;1;426;0,2308;1,2035;1,0208;1,0304;1
20250407 14:24:03;20250407 17:24:03;17,9;429;0,0699;0,8895;1,0486;1,0577;1;426;0,2081;1,1652;1,0456;1,0549;1
20250407 14:39:35;20250407 17:39:35;16,0;437;0,0559;0,8372;1,1002;1,1052;1;432;0,1776;1,1078;1,092;1,0979;1
20250407 14:54:05;20250407 17:54:05;14,2;430;0,0513;0,8451;1,0672;1,0754;1;424;0,1688;1,1278;1,0576;1,0663;1
20250407 15:09:06;20250407 18:09:06;12,4;433;0,0434;0,8329;1,0589;1,0676;1;421;0,1525;1,1252;1,0451;1,0544;1
20250407 15:24:10;20250407 18:24:10;10,5;428;0,0375;0,8129;1,0578;1,0665;1;417;0,1348;1,1115;1,0419;1,0513;1
20250407 15:39:10;20250407 18:39:10;8,6;419;0,033;0,7935;1,0527;1,0617;1;414;0,1185;1,1051;1,0304;1,04;1
20250407 15:54:11;20250407 18:54:11;6,8;432;0,0273;0,7495;1,0822;1,0891;1;417;0,0981;1,0659;1,0511;1,0601;1
20250407 16:09:50;20250407 19:09:50;4,8;418;0,0278;0,7271;1,0758;1,0832;1;415;0,0847;1,062;1,0374;1,0469;1
20250407 16:24:55;20250407 19:24:55;2,9;421;0,0284;0,6911;1,088;1,0944;1;409;0,0763;1,0437;1,0405;1,0499;1
