DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250510 02:12:31;20250510 05:12:31;3.3;467;1;428;1
20250510 02:27:27;20250510 05:27:27;5.0;445;1;415;1
20250510 02:41:49;20250510 05:41:49;6.6;429;1;404;1
20250510 02:56:50;20250510 05:56:50;8.3;420;1;405;1
20250510 03:11:50;20250510 06:11:50;10.1;425;1;409;1
20250510 03:26:47;20250510 06:26:47;11.9;425;1;414;1
20250510 03:42:18;20250510 06:42:18;13.8;421;1;418;1
20250510 03:56:48;20250510 06:56:48;15.6;416;1;413;1
20250510 04:11:49;20250510 07:11:49;17.5;413;1;410;1
20250510 04:26:49;20250510 07:26:49;19.4;412;1;409;1
20250510 04:41:50;20250510 07:41:50;21.2;415;1;409;1
20250510 04:56:50;20250510 07:56:50;23.1;415;1;409;1
20250510 05:11:51;20250510 08:11:51;25.0;418;1;411;1
20250510 05:26:51;20250510 08:26:51;26.8;420;1;410;1
20250510 05:41:52;20250510 08:41:52;28.7;422;1;410;1
20250510 05:56:52;20250510 08:56:52;30.5;425;1;411;1
20250510 06:11:52;20250510 09:11:52;32.2;425;1;412;1
20250510 06:26:53;20250510 09:26:53;34.0;427;1;412;1
20250510 06:41:54;20250510 09:41:54;35.6;429;1;412;1
20250510 06:56:55;20250510 09:56:55;37.2;431;1;413;1
20250510 07:11:55;20250510 10:11:55;38.8;430;1;410;1
20250510 07:26:56;20250510 10:26:56;40.2;429;1;412;1
20250510 07:41:57;20250510 10:41:57;41.6;429;1;410;1
20250510 07:56:58;20250510 10:56:58;42.8;429;1;409;1
20250510 08:11:58;20250510 11:11:58;43.9;430;1;412;1
20250510 08:26:28;20250510 11:26:28;44.9;397;1;396;1
20250510 08:42:00;20250510 11:42:00;45.8;433;1;414;1
20250510 08:57:00;20250510 11:57:00;46.5;435;1;414;1
20250510 09:12:01;20250510 12:12:01;47.1;418;1;387;1
20250510 09:27:01;20250510 12:27:01;47.5;439;1;420;1
20250510 09:42:02;20250510 12:42:02;47.7;437;1;418;1
20250510 09:56:33;20250510 12:56:33;47.7;420;1;407;1
20250510 10:12:05;20250510 13:12:05;47.6;411;1;404;1
20250510 10:27:35;20250510 13:27:35;47.3;427;1;412;1
20250510 10:42:36;20250510 13:42:36;46.8;408;1;397;1
20250510 10:56:35;20250510 13:56:35;46.2;417;1;403;1
20250510 11:12:07;20250510 14:12:07;45.4;439;1;417;1
20250510 11:26:36;20250510 14:26:36;44.5;426;1;411;1
20250510 11:41:36;20250510 14:41:36;43.5;412;1;406;1
20250510 11:57:07;20250510 14:57:07;42.2;425;1;413;1
20250510 12:11:37;20250510 15:11:37;41.0;416;1;407;1
20250510 12:26:37;20250510 15:26:37;39.6;411;1;403;1
20250510 12:41:38;20250510 15:41:38;38.1;413;1;406;1
20250510 12:57:09;20250510 15:57:09;36.5;422;1;416;1
20250510 13:12:09;20250510 16:12:09;34.9;416;1;411;1
20250510 13:26:39;20250510 16:26:39;33.2;424;1;414;1
20250510 13:41:39;20250510 16:41:39;31.5;408;1;409;1
20250510 13:57:10;20250510 16:57:10;29.7;419;1;418;1
20250510 14:12:10;20250510 17:12:10;27.9;421;1;418;1
20250510 14:27:11;20250510 17:27:11;26.0;424;1;418;1
20250510 14:41:41;20250510 17:41:41;24.2;421;1;416;1
20250510 14:57:12;20250510 17:57:12;22.3;418;1;421;1
20250510 15:12:12;20250510 18:12:12;20.4;423;1;424;1
20250510 15:27:13;20250510 18:27:13;18.5;420;1;422;1
20250510 15:42:14;20250510 18:42:14;16.7;420;1;417;1
20250510 15:57:15;20250510 18:57:15;14.8;415;1;413;1
20250510 16:12:15;20250510 19:12:15;13.0;418;1;411;1
20250510 16:27:15;20250510 19:27:15;11.2;423;1;412;1
20250510 16:42:19;20250510 19:42:19;9.4;423;1;410;1
20250510 16:57:20;20250510 19:57:20;7.6;448;1;428;1
20250510 17:12:53;20250510 20:12:53;5.8;456;1;432;1
20250510 17:28:00;20250510 20:28:00;4.2;465;1;424;1
