DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20250503 02:28:18;20250503 05:28:18;3.3;514;1;464;1
20250503 02:43:10;20250503 05:43:10;5.0;493;1;442;1
20250503 02:58:35;20250503 05:58:35;6.8;435;1;424;1
20250503 03:13:35;20250503 06:13:35;8.6;446;1;436;1
20250503 03:28:03;20250503 06:28:03;10.3;421;1;408;1
20250503 03:42:59;20250503 06:42:59;12.2;427;1;418;1
20250503 03:57:29;20250503 06:57:29;14.0;473;1;428;1
20250503 04:12:29;20250503 07:12:29;15.8;462;1;429;1
20250503 04:28:01;20250503 07:28:01;17.8;425;1;421;1
20250503 04:42:31;20250503 07:42:31;19.6;444;1;427;1
20250503 04:58:33;20250503 07:58:33;21.6;435;1;429;1
20250503 05:12:32;20250503 08:12:32;23.3;437;1;426;1
20250503 05:27:32;20250503 08:27:32;25.2;439;1;428;1
20250503 05:43:03;20250503 08:43:03;27.1;438;1;427;1
20250503 05:58:04;20250503 08:58:04;28.9;456;1;450;1
20250503 06:12:33;20250503 09:12:33;30.6;450;1;434;1
20250503 06:27:34;20250503 09:27:34;32.3;448;1;437;1
20250503 06:42:34;20250503 09:42:34;33.9;451;1;439;1
20250503 06:57:36;20250503 09:57:36;35.5;449;1;435;1
20250503 07:13:07;20250503 10:13:07;37.1;467;1;445;1
20250503 07:28:08;20250503 10:28:08;38.5;468;1;454;1
20250503 07:42:37;20250503 10:42:37;39.8;451;1;439;1
20250503 07:58:08;20250503 10:58:08;41.0;469;1;450;1
20250503 08:13:39;20250503 11:13:39;42.2;440;1;426;1
20250503 08:27:39;20250503 11:27:39;43.1;445;1;425;1
20250503 08:43:10;20250503 11:43:10;43.9;469;1;448;1
20250503 08:57:40;20250503 11:57:40;44.6;464;1;445;1
20250503 09:12:41;20250503 12:12:41;45.2;463;1;451;1
20250503 09:28:12;20250503 12:28:12;45.5;474;1;215;1
20250503 09:43:13;20250503 12:43:13;45.8;465;1;442;1
20250503 09:57:42;20250503 12:57:42;45.8;469;1;461;1
20250503 10:13:14;20250503 13:13:14;45.7;469;1;446;1
20250503 10:28:14;20250503 13:28:14;45.4;466;1;441;1
20250503 10:43:45;20250503 13:43:45;44.9;464;1;439;1
20250503 10:58:15;20250503 13:58:15;44.3;456;1;433;1
20250503 11:13:15;20250503 14:13:15;43.5;454;1;431;1
20250503 11:28:16;20250503 14:28:16;42.6;446;1;424;1
20250503 11:43:16;20250503 14:43:16;41.5;444;1;422;1
20250503 11:58:16;20250503 14:58:16;40.4;438;1;418;1
20250503 12:13:17;20250503 15:13:17;39.1;435;1;417;1
20250503 12:28:17;20250503 15:28:17;37.7;437;1;417;1
20250503 12:43:17;20250503 15:43:17;36.3;434;1;417;1
20250503 12:58:18;20250503 15:58:18;34.7;433;1;416;1
20250503 13:13:18;20250503 16:13:18;33.1;433;1;417;1
20250503 13:28:19;20250503 16:28:19;31.4;433;1;419;1
20250503 13:43:20;20250503 16:43:20;29.7;432;1;419;1
20250503 13:58:20;20250503 16:58:20;27.9;429;1;420;1
20250503 14:13:21;20250503 17:13:21;26.1;426;1;418;1
20250503 14:28:22;20250503 17:28:22;24.3;424;1;417;1
20250503 14:43:22;20250503 17:43:22;22.4;424;1;419;1
20250503 14:58:23;20250503 17:58:23;20.6;424;1;421;1
20250503 15:13:23;20250503 18:13:23;18.7;422;1;419;1
20250503 15:28:24;20250503 18:28:24;16.8;420;1;417;1
20250503 15:43:25;20250503 18:43:25;14.9;420;1;415;1
20250503 15:58:26;20250503 18:58:26;13.1;430;1;419;1
20250503 16:13:26;20250503 19:13:26;11.2;435;1;424;1
20250503 16:28:31;20250503 19:28:31;9.4;439;1;423;1
20250503 16:43:30;20250503 19:43:30;7.6;456;1;429;1
20250503 16:59:04;20250503 19:59:04;5.8;469;1;449;1
20250503 17:14:11;20250503 20:14:11;4.1;520;1;463;1
Среднее значение ОСО (P1): 448
Стандартное отклонение: 21.21
Среднее значение ОСО (P2): 427
Стандартное отклонение: 30.68

