	MuEff							
7	Ozone	number						
99	Mueff	number						
0.05	Mueff	step						
250	275	303	318	365	420	470	Ozon	number
0.369662386	0.344361253	0.320376491	0.309539108	0.280322315	0.248268617	0.220953834	1.1	
0.351957411	0.327329852	0.3036013	0.292367255	0.260864269	0.231390008	0.204878189	1.15	
0.335310951	0.311330112	0.28787078	0.27630864	0.243273553	0.215792227	0.190056378	1.2	
0.319661763	0.296301788	0.273123979	0.261296856	0.227357579	0.201388154	0.176404196	1.25	
0.304951481	0.282187489	0.259302806	0.247268653	0.212940514	0.188095358	0.163841769	1.3	
0.291124527	0.268932597	0.246351941	0.234163841	0.199862292	0.175835922	0.152293403	1.35	
0.278128019	0.256485167	0.234218747	0.221925184	0.18797766	0.164536279	0.141687449	1.4	
0.265911681	0.244795847	0.222853179	0.210498307	0.177155252	0.154127048	0.131956151	1.45	
0.25442776	0.233817783	0.2122077	0.199831594	0.167276686	0.14454287	0.123035512	1.5	
0.243630936	0.223506539	0.202237195	0.1898761	0.158235699	0.135722253	0.114865155	1.55	
0.233478243	0.213820008	0.192898887	0.180585449	0.149937295	0.127607415	0.107388186	1.6	
0.223928981	0.204718334	0.184152254	0.17191575	0.142296935	0.120144134	0.100551068	1.65	
0.214944637	0.196163827	0.17595895	0.163825501	0.135239749	0.113281597	0.094303482	1.7	
0.206488808	0.188120882	0.168282725	0.156275503	0.128699773	0.106972255	0.088598209	1.75	
0.198527116	0.180555904	0.161089344	0.149228774	0.122619217	0.101171684	0.083390998	1.8	
0.191027136	0.173736925	0.154346517	0.14265046	0.116947767	0.09583844	0.078640444	1.85	
0.183958322	0.167391088	0.148023816	0.136507757	0.111641898	0.090933923	0.074307872	1.9	
0.177291924	0.161321795	0.142092606	0.130769822	0.106664237	0.08642225	0.070357217	1.95	
0.171249248	0.155519054	0.136525972	0.125407699	0.101982934	0.082270117	0.066754906	2	
0.165774604	0.149973134	0.131298649	0.120394234	0.097571072	0.078446675	0.06346975	2.05	
0.160479751	0.144674551	0.126386948	0.115704003	0.093406105	0.074923407	0.06047283	2.1	
0.15536423	0.139614071	0.121768696	0.111313234	0.089469318	0.071674005	0.05773739	2.15	
0.150427151	0.134782705	0.117423159	0.107199734	0.085745318	0.068674252	0.055238732	2.2	
0.14566721	0.130171704	0.113330988	0.103342812	0.082221556	0.06590191	0.052954113	2.25	
0.141082727	0.125772559	0.109474146	0.099723218	0.078887869	0.063336603	0.050862645	2.3	
0.136671663	0.121576996	0.105835849	0.096323063	0.075736059	0.060959712	0.048945192	2.35	
0.132431652	0.117576972	0.10240051	0.093125759	0.072759495	0.05875427	0.047184283	2.4	
0.128360025	0.113764673	0.099153669	0.09011595	0.069952742	0.056704857	0.045564011	2.45	
0.124453832	0.110132511	0.096081945	0.087279447	0.067311219	0.054797499	0.044069945	2.5	
0.120709871	0.106673118	0.093172975	0.084603169	0.064830888	0.053019577	0.042689042	2.55	
0.117124705	0.103379347	0.090415357	0.082075078	0.062507965	0.05135973	0.04140956	2.6	
0.11369469	0.100244265	0.0877986	0.079684121	0.060338667	0.049807762	0.040220977	2.65	
0.110415994	0.097261152	0.08531307	0.077420173	0.058318975	0.048354561	0.039113905	2.7	
0.107284619	0.094423495	0.082949938	0.075273981	0.056444438	0.046992011	0.038080016	2.75	
0.104296423	0.09172499	0.080701133	0.073237106	0.054709995	0.045712912	0.037111964	2.8	
0.101447137	0.089159533	0.078559292	0.071301876	0.053109832	0.0445109	0.036203312	2.85	
0.098732388	0.086721219	0.076517712	0.06946133	0.05163726	0.043380376	0.035348459	2.9	
0.096147714	0.084404339	0.074570311	0.067709169	0.050284628	0.04231643	0.034542571	2.95	
0.093688586	0.082203378	0.072711576	0.06603971	0.049043256	0.041314774	0.033781519	3	
0.091350421	0.080113009	0.070936525	0.064447838	0.047970858	0.040350064	0.03306181	3.05	
0.089128605	0.078128091	0.069240668	0.062928961	0.04685095	0.039486847	0.032380527	3.1	
0.0870185	0.076243665	0.067619963	0.061478967	0.045805202	0.038673833	0.03173527	3.15	
0.08501547	0.074454954	0.066070781	0.060094185	0.044828282	0.037909185	0.031124102	3.2	
0.083114886	0.072757355	0.064589868	0.05877134	0.043915208	0.037191101	0.030545488	3.25	
0.081312147	0.071146438	0.063174311	0.05750752	0.043061336	0.03651781	0.029998252	3.3	
0.079602691	0.069617944	0.061821501	0.056300133	0.042262352	0.03588758	0.02948152	3.35	
0.077982007	0.068167778	0.060529107	0.05514688	0.041514256	0.035298711	0.02899468	3.4	
0.076445648	0.066792011	0.059295037	0.054045715	0.04081335	0.034749537	0.028537329	3.45	
0.074989245	0.065486872	0.058117415	0.052994815	0.040156227	0.034238429	0.02810924	3.5	
0.073608513	0.064248746	0.056994551	0.051992552	0.039539759	0.033763791	0.027710318	3.55	
0.072299263	0.063074174	0.055924912	0.05103746	0.038961082	0.033324061	0.027340562	3.6	
0.071057416	0.061959843	0.054907099	0.050128214	0.038417587	0.032917713	0.027000032	3.65	
0.069879005	0.060902591	0.053939823	0.049263599	0.037906905	0.032543255	0.026688818	3.7	
0.068760187	0.059899396	0.053021884	0.048442488	0.037426897	0.03219923	0.026407007	3.75	
0.06769725	0.058947378	0.052152147	0.047663822	0.036975641	0.031884214	0.026154658	3.8	
0.066686622	0.058043793	0.051329523	0.046926588	0.036551418	0.031596819	0.025931776	3.85	
0.065724873	0.057186032	0.050552954	0.046229799	0.036152701	0.031335692	0.025738293	3.9	
0.064808724	0.056371615	0.049821392	0.045572478	0.035778145	0.031099513	0.025574041	3.95	
0.063935051	0.055598189	0.049133788	0.044953643	0.03542657	0.030886997	0.025879811	4	
0.063100888	0.054863527	0.048489076	0.044372292	0.035096952	0.030696896	0.02576315	4.05	
0.062303434	0.054165519	0.047886159	0.043827391	0.034788411	0.030527992	0.025667739	4.1	
0.061540053	0.053502176	0.047323901	0.043317863	0.034500196	0.030379106	0.025593071	4.15	
0.060808277	0.05287162	0.046801116	0.042842579	0.034231675	0.030249091	0.025538568	4.2	
0.06010581	0.052272085	0.046316561	0.04240035	0.033982323	0.030136836	0.025503572	4.25	
0.059430525	0.051701913	0.045868927	0.041989922	0.033751707	0.030041263	0.025487339	4.3	
0.058780468	0.051159549	0.045456836	0.041609972	0.033539476	0.029961329	0.025489037	4.35	
0.058153855	0.050643541	0.045078837	0.041259105	0.033345348	0.029896028	0.025507741	4.4	
0.057549075	0.050152531	0.044733402	0.04093585	0.0331691	0.029844384	0.025542433	4.45	
0.056964684	0.049685258	0.044418926	0.040638667	0.03301055	0.02980546	0.025592003	4.5	
0.056399405	0.049240553	0.044133728	0.040365943	0.032869551	0.029778351	0.025655252	4.55	
0.055852126	0.048817332	0.043876053	0.040115999	0.032745974	0.029762188	0.025730895	4.6	
0.055321894	0.048414597	0.043644073	0.039887096	0.0326397	0.029756135	0.025817568	4.65	
0.054807914	0.048031432	0.043435895	0.039677439	0.032550604	0.029759392	0.025913834	4.7	
0.054309541	0.047666999	0.043249564	0.039485188	0.032478543	0.029771193	0.026018196	4.75	
0.053826278	0.047320532	0.043083073	0.039308471	0.032423347	0.029790806	0.026129104	4.8	
0.053357766	0.04699134	0.042934373	0.039145388	0.032384804	0.029817535	0.02624497	4.85	
0.052903779	0.046678797	0.042801378	0.038994034	0.032362647	0.029850718	0.026364181	4.9	
0.05246422	0.046382346	0.042681983	0.038852507	0.032356544	0.029889726	0.026485118	4.95	
0.052039106	0.046101487	0.042574074	0.038718929	0.032366084	0.029933967	0.026606171	5	
0.051628564	0.045835782	0.042475543	0.038591462	0.032390766	0.029982882	0.026725758	5.05	
0.051232823	0.045584846	0.042384307	0.038468329	0.032429987	0.030035948	0.026842351	5.1	
