	MuEff										
10	Ozone	number									
99	Mueff	number									
0.05	Mueff	step									
250	277	305	315	338	331	377	420	450	470	Ozon	number
0.537581538	0.524843792	0.501636859	0.49441763	0.475722183	0.483506801	0.458784571	0.433014684	0.417214513	0.41131967	1.1	
0.523184021	0.510858884	0.487462192	0.479387825	0.461172267	0.468196523	0.44306365	0.417159526	0.40045588	0.392938984	1.15	
0.509388737	0.497364382	0.473785773	0.464976273	0.447173523	0.453520414	0.428010549	0.401976301	0.384496919	0.375591881	1.2	
0.496166281	0.484343398	0.460592109	0.45115948	0.433707621	0.439454552	0.413597925	0.387440929	0.369304417	0.359224333	1.25	
0.48348855	0.471779499	0.447866056	0.437914589	0.420756663	0.42597567	0.399799403	0.373529937	0.354846156	0.343784579	1.3	
0.471328699	0.459656701	0.435592812	0.425219376	0.408303182	0.413061146	0.386589548	0.360220452	0.341090901	0.329223064	1.35	
0.459661105	0.447959468	0.423757913	0.41305224	0.396330133	0.400688996	0.373943848	0.347490193	0.328008376	0.31549237	1.4	
0.448461324	0.436672696	0.412347231	0.401392195	0.384820891	0.388837864	0.361838684	0.335317463	0.31556926	0.302547156	1.45	
0.437706055	0.425781714	0.401346969	0.390218861	0.373759245	0.377487013	0.350251305	0.323681141	0.303745163	0.290344096	1.5	
0.427373099	0.415272274	0.390743657	0.379512451	0.363129393	0.366616314	0.339159808	0.312560675	0.292508612	0.278841814	1.55	
0.417441326	0.405130543	0.380524145	0.369253771	0.352915933	0.356206239	0.328543113	0.301936073	0.281833041	0.268000831	1.6	
0.407890632	0.395343099	0.370675607	0.359424201	0.343103864	0.346237852	0.318380938	0.291787896	0.271692768	0.257783495	1.65	
0.398701908	0.385896924	0.361185527	0.350005694	0.333678577	0.336692797	0.308653779	0.282097252	0.262062984	0.248153934	1.7	
0.389857004	0.376779395	0.352041703	0.340980764	0.324625849	0.327553291	0.299342888	0.272845784	0.252919739	0.239077988	1.75	
0.381338688	0.367978279	0.343232239	0.332332477	0.315931841	0.318802116	0.290430244	0.264015665	0.244239922	0.23052316	1.8	
0.373130622	0.359481726	0.334745542	0.324044442	0.30758309	0.310422604	0.281898543	0.255589591	0.236001247	0.222458558	1.85	
0.365217317	0.351278262	0.326570316	0.316100806	0.299566506	0.302398637	0.273731166	0.247550771	0.228182241	0.214854837	1.9	
0.357584109	0.343356782	0.318695564	0.308486237	0.291869363	0.294714629	0.265912164	0.239882922	0.220762225	0.207684151	1.95	
0.350217124	0.335706545	0.311110577	0.301185926	0.2844793	0.287355521	0.258426234	0.232570256	0.213721299	0.200920094	2	
0.343103241	0.328317164	0.303804932	0.294185567	0.277384308	0.280306772	0.2512587	0.225597479	0.207040328	0.194537655	2.05	
0.336230069	0.321178602	0.296768493	0.287471357	0.270572732	0.273554349	0.244395496	0.218949779	0.200700926	0.18851316	2.1	
0.329585911	0.314281165	0.2899914	0.281029983	0.264033261	0.267084716	0.237823139	0.212612818	0.194685439	0.182824227	2.15	
0.323159738	0.307615494	0.283464067	0.274848614	0.257754925	0.26088483	0.231528718	0.206572727	0.188976933	0.177449714	2.2	
0.316941154	0.301172559	0.277177182	0.268914892	0.251727089	0.254942123	0.225499869	0.200816096	0.183559174	0.172369672	2.25	
0.310920375	0.294943652	0.271121699	0.263216923	0.245939448	0.249244504	0.219724758	0.195329966	0.178416617	0.167565298	2.3	
0.305088195	0.288920381	0.265288833	0.257743269	0.240382021	0.24378034	0.214192065	0.190101823	0.173534388	0.163018888	2.35	
0.29943596	0.283094661	0.25967006	0.252482939	0.235045149	0.23853845	0.208890962	0.185119589	0.168898269	0.158713793	2.4	
0.293955546	0.277458712	0.254257111	0.247425379	0.229919483	0.2335081	0.2038111	0.180371615	0.164494685	0.154634372	2.45	
0.288639324	0.272005046	0.249041968	0.242560465	0.224995988	0.228678986	0.198942588	0.17584667	0.160310682	0.150765951	2.5	
0.283480145	0.266726466	0.244016859	0.237878492	0.220265928	0.224041233	0.194275978	0.17153394	0.156333921	0.147094779	2.55	
0.278471305	0.261616054	0.239174256	0.233370169	0.215720869	0.219585378	0.189802247	0.167423012	0.152552653	0.143607987	2.6	
0.273606531	0.25666717	0.23450687	0.229026604	0.211352668	0.215302368	0.185512783	0.163503875	0.148955712	0.140293549	2.65	
0.268879948	0.251873439	0.230007646	0.224839302	0.207153473	0.211183543	0.181399366	0.159766903	0.145532493	0.137140238	2.7	
0.264286063	0.247228749	0.225669761	0.220800151	0.203115712	0.207220636	0.177454157	0.156202855	0.142272941	0.13413759	2.75	
0.259819741	0.242727245	0.22148662	0.216901416	0.199232092	0.203405754	0.173669679	0.152802861	0.139167533	0.131275867	2.8	
0.25547618	0.238363316	0.21745185	0.21313573	0.195495592	0.199731377	0.170038801	0.149558421	0.136207263	0.128546019	2.85	
0.251250897	0.234131593	0.213559296	0.209496083	0.191899459	0.196190344	0.16655473	0.14646139	0.133383629	0.125939647	2.9	
0.247139699	0.230026945	0.20980302	0.205975816	0.188437201	0.192775845	0.163210989	0.143503976	0.130688614	0.123448969	2.95	
0.243138673	0.226044464	0.206177294	0.20256861	0.185102582	0.189481413	0.16000141	0.140678729	0.128114672	0.121066787	3	
0.239244157	0.222179466	0.202676598	0.199268478	0.181889621	0.186300912	0.156920115	0.137978532	0.125654713	0.118786451	3.05	
0.235452731	0.21842748	0.199295615	0.196069759	0.178792578	0.183228531	0.153961507	0.1353966	0.123302089	0.116601829	3.1	
0.231761192	0.214784243	0.196029225	0.192967102	0.17580596	0.180258773	0.151120253	0.132926464	0.121050575	0.114507276	3.15	
0.228166541	0.211245692	0.192872508	0.189955465	0.172924504	0.177386444	0.148391279	0.130561966	0.118894355	0.112497601	3.2	
0.224665965	0.20780796	0.189820729	0.187030102	0.170143182	0.174606649	0.145769748	0.128297256	0.11682801	0.110568041	3.25	
0.221256822	0.204467364	0.186869345	0.184186554	0.16745719	0.171914778	0.143251057	0.126126777	0.114846497	0.108714231	3.3	
0.217936625	0.201220405	0.184013994	0.181420642	0.164861943	0.169306497	0.140830819	0.124045261	0.112945138	0.106932174	3.35	
0.214703027	0.198063754	0.181250493	0.178728458	0.162353072	0.166777743	0.138504859	0.12204772	0.111119601	0.105218219	3.4	
0.211553809	0.194994253	0.178574836	0.176106355	0.159926417	0.164324709	0.136269195	0.120129442	0.109365887	0.103569033	3.45	
0.208486866	0.192008902	0.175983186	0.173550938	0.157578024	0.16194384	0.134120035	0.118285976	0.107680316	0.101981574	3.5	
0.205500192	0.189104854	0.173471874	0.171059056	0.155304136	0.15963182	0.132053763	0.11651313	0.106059506	0.100453073	3.55	
0.202591871	0.18627941	0.171037396	0.168627795	0.153101192	0.157385565	0.13006693	0.114806963	0.104500365	0.098981005	3.6	
0.199760067	0.183530011	0.168676404	0.166254466	0.150965819	0.155202213	0.128156245	0.113163773	0.103000069	0.097563071	3.65	
0.197003006	0.18085423	0.166385708	0.163936596	0.148894827	0.153079114	0.126318567	0.111580094	0.10155605	0.096197175	3.7	
0.194318975	0.178249769	0.164162267	0.161671923	0.146885204	0.151013821	0.124550895	0.110052685	0.10016598	0.094881405	3.75	
0.191706306	0.175714447	0.162003188	0.159458385	0.144934113	0.149004084	0.12285036	0.108578525	0.098827755	0.093614015	3.8	
0.189163372	0.173246198	0.159905724	0.157294108	0.143038884	0.147047836	0.121214217	0.107154801	0.097539482	0.092393403	3.85	
0.186688573	0.170843062	0.157867262	0.155177404	0.141197008	0.145143186	0.119639838	0.105778905	0.096299459	0.091218099	3.9	
0.184280335	0.168503177	0.155885329	0.153106755	0.139406136	0.143288411	0.118124705	0.104448424	0.095106163	0.090086743	3.95	
0.181937099	0.166224776	0.153957581	0.151080811	0.137664069	0.141481943	0.116666402	0.103161131	0.093958234	0.088998076	4	
0.179657313	0.164006177	0.152081801	0.149098374	0.135968756	0.139722364	0.11526261	0.101914978	0.092854461	0.08795092	4.05	
0.177439434	0.161845777	0.150255896	0.147158397	0.134318288	0.138008395	0.113911098	0.100708092	0.091793763	0.086944168	4.1	
0.175281915	0.159742046	0.148477893	0.145259967	0.132710892	0.136338887	0.112609721	0.099538761	0.090775174	0.085976768	4.15	
0.173183203	0.15769352	0.146745934	0.143402303	0.131144925	0.134712809	0.111356411	0.098405429	0.089797833	0.085047715	4.2	
0.171141739	0.155698794	0.145058271	0.141584745	0.129618873	0.133129245	0.110149175	0.097306691	0.088860962	0.084156042	4.25	
0.16915595	0.153756516	0.143413264	0.139806743	0.12813134	0.131587379	0.108986086	0.096241279	0.087963853	0.083300801	4.3	
0.167224249	0.151865377	0.141809377	0.138067849	0.126681048	0.130086487	0.107865284	0.095208061	0.087105856	0.082481066	4.35	
0.165345033	0.150024109	0.140245173	0.136367712	0.125266826	0.128625931	0.106784968	0.094206029	0.086286355	0.081695917	4.4	
0.16351668	0.148231477	0.138719311	0.134706064	0.123887612	0.127205147	0.105743392	0.093234291	0.085504764	0.080944436	4.45	
0.161737553	0.14648627	0.137230539	0.133082714	0.122542441	0.125823633	0.104738864	0.092292065	0.084760502	0.080225702	4.5	
0.160005995	0.144787295	0.135777695	0.131497539	0.121230444	0.124480947	0.103769742	0.091378673	0.08405298	0.079538782	4.55	
0.158320333	0.143133372	0.134359699	0.129950474	0.119950841	0.123176692	0.102834429	0.090493528	0.083381591	0.078882733	4.6	
0.156678878	0.141523325	0.132975551	0.128441505	0.118702936	0.121910509	0.101931374	0.089636131	0.082745687	0.078256592	4.65	
0.155079927	0.139955978	0.131624327	0.126970658	0.117486112	0.120682066	0.101059069	0.088806059	0.082144567	0.077659381	4.7	
0.153521767	0.138430146	0.130305172	0.125537992	0.116299828	0.119491051	0.100216047	0.088002962	0.081577463	0.0770901	4.75	
0.152002677	0.136944628	0.129017301	0.12414359	0.115143607	0.118337163	0.099400878	0.087226553	0.081043521	0.076547727	4.8	
0.150520931	0.135498202	0.12775999	0.122787549	0.114017039	0.1172201	0.098612173	0.086476597	0.080541791	0.076031224	4.85	
0.149074807	0.134089616	0.126532578	0.121469971	0.112919771	0.116139552	0.09784858	0.085752909	0.080071204	0.075539531	4.9	
0.147662587	0.132717586	0.125334456	0.120190957	0.111851502	0.11509519	0.097108784	0.085055343	0.079630564	0.075071574	4.95	
0.146282564	0.131380783	0.124165067	0.118950595	0.11081198	0.11408666	0.096391508	0.084383783	0.079218528	0.074626269	5	
0.144933051	0.130077829	0.123023903	0.117748953	0.109800994	0.113113571	0.095695513	0.08373814	0.078833592	0.074202519	5.05	
0.143612388	0.128807291	0.121910499	0.116586068	0.108818372	0.112175486	0.095019598	0.083118338	0.078474075	0.073799228	5.1	
0.142318945	0.127567676	0.120824429	0.115461942	0.107863971	0.111271913	0.094362602	0.082524311	0.078138106	0.073415302	5.15	
0.141051137	0.126357418	0.119765301	0.114376527	0.106937677	0.110402297	0.093723405	0.081955993	0.077823604	0.073049659	5.2	
0.139807428	0.125174878	0.118732758	0.113329721	0.106039398	0.109566009	0.093100931	0.08141331	0.077528267	0.072701234	5.25	
0.138586342	0.124018333	0.117726467	0.112321356	0.105169055	0.108762339	0.092494146	0.080896176	0.077249556	0.072368992	5.3	
0.137386477	0.122885971	0.11674612	0.111351191	0.104326584	0.107990484	0.091902065	0.080404479	0.076984674	0.072051933	5.35	
0.136206509	0.121775885	0.11579143	0.110418904	0.103511924	0.10724954	0.091323756	0.079938077	0.07673056	0.071749107	5.4	
0.13504521	0.120686063	0.114862123	0.109524079	0.102725015	0.106538494	0.090758335	0.079496791	0.076483866	0.071459627	5.45	
0.133901456	0.119614386	0.113957938	0.108666204	0.101965794	0.105856213	0.090204978	0.079080394	0.076240944	0.071182675	5.5	
0.132774243	0.118558617	0.113078621	0.107844654	0.101234185	0.105201437	0.089662921	0.078688608	0.075997831	0.070917523	5.55	
0.131662699	0.117516397	0.112223921	0.10705869	0.1005301	0.104572764	0.089131465	0.07832109	0.075750234	0.070663543	5.6	
0.130566096	0.116485235	0.111393587	0.106307445	0.099853429	0.103968651	0.088609979	0.077977429	0.075493514	0.070420227	5.65	
0.12948387	0.115462506	0.110587365	0.105589916	0.099204036	0.103387395	0.088097909	0.077657137	0.07522267	0.070187198	5.7	
0.128415631	0.114445442	0.109804991	0.104904958	0.098581756	0.102827127	0.087594777	0.07735964	0.074932322	0.069964232	5.75	
0.127361183	0.113431122	0.109046188	0.104251273	0.097986386	0.102285806	0.087100192	0.077084274	0.074616702	0.069751273	5.8	
0.126320539	0.112416471	0.108310664	0.103627398	0.097417683	0.101761207	0.086613853	0.07683027	0.074269629	0.069548458	5.85	
0.125293938	0.111398249	0.107598106	0.103031704	0.096875356	0.101250909	0.086135557	0.076596753	0.073884504	0.069356128	5.9	
0.124281863	0.110373046	0.106908177	0.102462381	0.096359064	0.100752291	0.085665203	0.076382733	0.073454286	0.06917486	5.95	
0.123285061	0.109337276	0.106240511	0.10191743	0.095868408	0.10026252	0.085202802	0.076187095	0.07297148	0.069005479	6	
