DatetimeUTC;DatetimeLocal;Sunheight[°];OzoneP1[D.u.];CorrectP1;OzoneP2[D.u.];CorrectP2
20241101 11:05:27;20241101 14:05:27;13.5;432;1;413;1
20241101 10:35:26;20241101 13:35:26;14.7;432;1;413;1
20241101 09:20:25;20241101 12:20:25;15.4;432;1;413;1
20241101 08:50:23;20241101 11:50:23;14.8;432;1;413;1
20241101 07:35:25;20241101 10:35:25;11.3;432;1;413;1
20241101 09:35:24;20241101 12:35:24;15.5;432;1;413;1
20241101 06:50:33;20241101 09:50:33;8.0;432;1;413;1
20241101 07:20:31;20241101 10:20:31;10.3;432;1;413;1
20241101 08:20:22;20241101 11:20:22;13.7;432;1;413;1
20241101 06:20:33;20241101 09:20:33;5.4;432;1;413;1
20241101 07:50:26;20241101 10:50:26;12.2;432;1;413;1
20241101 08:35:27;20241101 11:35:27;14.3;432;1;413;1
20241101 12:05:39;20241101 15:05:39;9.9;432;1;413;1
20241101 06:35:34;20241101 09:35:34;6.8;432;1;413;1
20241101 09:50:26;20241101 12:50:26;15.5;432;1;413;1
20241101 10:50:27;20241101 13:50:27;14.1;432;1;413;1
20241101 10:20:27;20241101 13:20:27;15.0;432;1;413;1
20241101 13:05:46;20241101 16:05:46;4.9;432;1;413;1
20241101 11:50:30;20241101 14:50:30;11.0;432;1;413;1
20241101 10:05:27;20241101 13:05:27;15.3;432;1;413;1
20241101 12:20:47;20241101 15:20:47;8.8;432;1;413;1
20241101 12:35:36;20241101 15:35:36;7.6;432;1;413;1
20241101 08:05:26;20241101 11:05:26;13.1;432;1;413;1
20241101 07:05:30;20241101 10:05:30;9.2;432;1;413;1
20241101 12:50:42;20241101 15:50:42;6.3;432;1;413;1
20241101 11:35:34;20241101 14:35:34;11.9;432;1;413;1
20241101 09:05:24;20241101 12:05:24;15.1;432;1;413;1
20241101 11:20:30;20241101 14:20:30;12.8;432;1;413;1
