DatetimeUTC;DatetimeLocal;Sunheight[°];UV-A[mWt/m^2];UV-B[mWt/m^2];UV-E[mWt/m^2]
20250510 17:53:53;20250510 20:53:53;1.4;-1;0;0
20250510 18:02:14;20250510 21:02:14;0.6;0;0;0
20250510 18:12:24;20250510 21:12:24;-0.4;0;0;0
20250510 18:23:06;20250510 21:23:06;-1.5;0;0;0
20250510 18:33:16;20250510 21:33:16;-2.4;-1;0;0
20250510 18:43:42;20250510 21:43:42;-3.4;-1;-1;0
20250510 18:54:08;20250510 21:54:08;-4.3;0;0;0
20250510 19:04:38;20250510 22:04:38;-5.1;0;0;0
20250510 19:31:48;20250510 22:31:48;-7.2;-9;0;0
20250510 19:41:10;20250510 22:41:10;-7.8;-2;0;0
