	MuEff			
4	Ozone	number			
121	Mueff	number			
0.05	Mueff	step			
315	330	415	470	Ozon	number
0.337803427	0.323571102	0.275306758	0.251012981	1.1	
0.322198212	0.307455678	0.260249794	0.236293485	1.15	
0.30742238	0.292266177	0.246024377	0.222392402	1.2	
0.293439207	0.277956258	0.232594601	0.209274922	1.25	
0.280213071	0.26448133	0.219925598	0.196907216	1.3	
0.267709444	0.251798509	0.207983519	0.185256426	1.35	
0.25589487	0.239866576	0.19673552	0.174290649	1.4	
0.24473695	0.228645934	0.186149751	0.163978926	1.45	
0.234204326	0.218098571	0.176195336	0.154291226	1.5	
0.224266664	0.208188015	0.166842364	0.145198434	1.55	
0.214894638	0.198879297	0.15806187	0.136672335	1.6	
0.206059915	0.19013891	0.149825821	0.128685604	1.65	
0.197735134	0.18193477	0.142107102	0.12121179	1.7	
0.189893896	0.174236178	0.134879504	0.114225303	1.75	
0.182510743	0.167013781	0.128117704	0.1077014	1.8	
0.175561144	0.160239534	0.121797254	0.101616172	1.85	
0.169021475	0.153886666	0.115894565	0.095946529	1.9	
0.162869008	0.149650151	0.110386895	0.090670188	1.95	
0.15708189	0.14345039	0.10525233	0.08576566	2	
0.15163913	0.13762616	0.100469771	0.081212234	2.05	
0.14652058	0.132157173	0.096018922	0.076989965	2.1	
0.14170692	0.127023895	0.09188027	0.073079659	2.15	
0.137179641	0.122207536	0.088035078	0.069462863	2.2	
0.132921029	0.117690034	0.084465361	0.066121847	2.25	
0.128914148	0.113454044	0.08115388	0.06303959	2.3	
0.125142825	0.109482921	0.07808412	0.060199774	2.35	
0.121591632	0.105760709	0.075240283	0.05758676	2.4	
0.118245871	0.102272126	0.072607265	0.055185581	2.45	
0.115091555	0.09900255	0.070170649	0.052981929	2.5	
0.112115396	0.095938006	0.067916684	0.050962135	2.55	
0.109304785	0.093065154	0.065832275	0.049113162	2.6	
0.106647776	0.090371272	0.063904966	0.04742259	2.65	
0.104133072	0.087844243	0.062122926	0.045878599	2.7	
0.101750005	0.085472545	0.060474934	0.044469958	2.75	
0.099488522	0.083245233	0.058950364	0.043186012	2.8	
0.09733917	0.081151926	0.057539173	0.042016667	2.85	
0.095293076	0.079182797	0.056231882	0.040952378	2.9	
0.093341932	0.077328554	0.055019564	0.039984133	2.95	
0.09147798	0.07558043	0.05389383	0.03910344	3	
0.089693994	0.073930168	0.052846812	0.038302316	3.05	
0.087983266	0.072370009	0.051871151	0.037573269	3.1	
0.086339584	0.070892674	0.050959978	0.03690929	3.15	
0.084757222	0.069491356	0.050106907	0.036303834	3.2	
0.083230922	0.068159703	0.049306011	0.035750808	3.25	
0.081755874	0.066891803	0.048551814	0.03524456	3.3	
0.080327704	0.065682176	0.047839275	0.034779863	3.35	
0.078942455	0.064525752	0.047163772	0.0343519	3.4	
0.077596572	0.063417865	0.046521086	0.033956254	3.45	
0.076286884	0.062354236	0.045907391	0.033588891	3.5	
0.07501059	0.061330959	0.045319236	0.033246151	3.55	
0.07376524	0.060344488	0.044753531	0.032924727	3.6	
0.072548721	0.059391623	0.04420753	0.032621659	3.65	
0.071359238	0.058469496	0.043678823	0.032334317	3.7	
0.070195302	0.05757556	0.043165313	0.032060384	3.75	
0.069055707	0.056707572	0.042665208	0.031797851	3.8	
0.067939519	0.05586358	0.042177001	0.031544995	3.85	
0.066846059	0.05504191	0.041699462	0.03130037	3.9	
0.065774883	0.054241153	0.041231615	0.03106279	3.95	
0.06472577	0.05346015	0.04077273	0.03083132	4	
0.063698704	0.05269798	0.040322306	0.030605259	4.05	
0.062693855	0.051953943	0.039880057	0.030384127	4.1	
0.061711568	0.05122755	0.039445894	0.030167651	4.15	
0.06075234	0.050518509	0.039019916	0.029955754	4.2	
0.059816812	0.049826708	0.038602391	0.029748537	4.25	
0.058905742	0.049152205	0.038193742	0.02954627	4.3	
0.058019999	0.048495212	0.037794535	0.029349375	4.35	
0.05716054	0.047856082	0.037405462	0.029158413	4.4	
0.056328395	0.047235297	0.037027325	0.028974073	4.45	
0.055524652	0.046633453	0.036661024	0.028797154	4.5	
0.054750441	0.046051243	0.036307542	0.028628555	4.55	
0.054006914	0.04548945	0.03596793	0.02846926	4.6	
0.053295233	0.044948928	0.035643291	0.028320325	4.65	
0.05261655	0.044430591	0.035334767	0.028182864	4.7	
0.051971993	0.043935399	0.035043523	0.028058034	4.75	
0.051362649	0.043464343	0.034770735	0.027947023	4.8	
0.050789547	0.043018432	0.034517571	0.027851038	4.85	
0.050253643	0.04259868	0.034285181	0.027771287	4.9	
0.04976	0.04221	0.03407	0.02771	4.95	
0.04930	0.04184	0.03389	0.02767	5	
0.04888	0.04151	0.03372	0.02764	5.05	
0.04850	0.04120	0.03358	0.02764	5.1	
0.04816	0.04093	0.03347	0.02766	5.15	
0.04786	0.04068	0.03339	0.02770	5.2	
0.04760	0.04047	0.03333	0.02776	5.25	
0.04738	0.04029	0.03329	0.02785	5.3	
0.04720	0.04015	0.03329	0.02797	5.35	
0.04706	0.04004	0.03331	0.02811	5.4	
0.04696	0.03996	0.03336	0.02827	5.45	
0.046899361	0.039917599	0.033443486	0.028465996	5.5	
0.046870468	0.039907362	0.033549841	0.028684142	5.55	
0.046875201	0.039930299	0.033682724	0.028928194	5.6	
0.046911438	0.039985852	0.033841223	0.029197783	5.65	
0.046976722	0.040073248	0.034024168	0.029492321	5.7	
0.047068242	0.040191487	0.034230123	0.029810995	5.75	
0.04718282	0.040339326	0.034457365	0.03015275	5.8	
0.047316891	0.040515269	0.034703874	0.030516276	5.85	
0.047466489	0.040717549	0.034967316	0.030899993	5.9	
0.047627228	0.040944118	0.03524503	0.03130204	5.95	
0.04779429	0.04119263	0.03553401	0.03172026	6	
0.047962404	0.041460432	0.035830894	0.032152186	6.05	
0.048125834	0.041744544	0.036131948	0.032595028	6.1	
0.048278357	0.042041653	0.036433052	0.033045659	6.15	
0.048413251	0.042348091	0.036729682	0.033500603	6.2	
0.04852328	0.042659827	0.0370169	0.033956018	6.25	
