	MuEff					
5	Ozone	number				
75	Mueff	number				
0.05	Mueff	step				
305	350	385	425	470	Ozon	number
0.5258702	0.4959276	0.4711623	0.4541490	0.4395883	1.1	
0.5096451	0.4782521	0.4545435	0.4358019	0.4191315	1.15	
0.4939810	0.4613297	0.4385980	0.4182875	0.3997302	1.2	
0.4788630	0.4451348	0.4233044	0.4015764	0.3813441	1.25	
0.4642765	0.4296424	0.4086417	0.3856397	0.3639340	1.3	
0.4502069	0.4148278	0.3945891	0.3704491	0.3474613	1.35	
0.4366402	0.4006669	0.3811263	0.3559770	0.3318882	1.4	
0.4235622	0.3871360	0.3682335	0.3421960	0.3171777	1.45	
0.4109591	0.3742119	0.3558909	0.3290796	0.3032936	1.5	
0.3988175	0.3618720	0.3440793	0.3166017	0.2902005	1.55	
0.3871237	0.3500938	0.3327800	0.3047370	0.2778637	1.6	
0.3758647	0.3388558	0.3219745	0.2934603	0.2662494	1.65	
0.3650274	0.3281366	0.3116447	0.2827475	0.2553245	1.7	
0.3545991	0.3179153	0.3017729	0.2725747	0.2450567	1.75	
0.3445671	0.3081715	0.2923417	0.2629186	0.2354146	1.8	
0.3349192	0.2988855	0.2833341	0.2537567	0.2263673	1.85	
0.3256431	0.2900378	0.2747335	0.2450667	0.2178850	1.9	
0.3167268	0.2816095	0.2665238	0.2368272	0.2099386	1.95	
0.3081586	0.2735821	0.2586890	0.2290171	0.2024996	2	
0.2999270	0.2659375	0.2512137	0.2216161	0.1955405	2.05	
0.2920205	0.2586584	0.2440827	0.2146043	0.1890345	2.1	
0.2844281	0.2517277	0.2372814	0.2079624	0.1829556	2.15	
0.2771388	0.2451287	0.2307952	0.2016717	0.1772786	2.2	
0.2701418	0.2388454	0.2246103	0.1957140	0.1719790	2.25	
0.2634267	0.2328623	0.2187130	0.1900718	0.1670333	2.3	
0.2569831	0.2271640	0.2130901	0.1847279	0.1624184	2.35	
0.2508009	0.2217360	0.2077286	0.1796659	0.1581124	2.4	
0.2448702	0.2165641	0.2026161	0.1748699	0.1540940	2.45	
0.2391813	0.2116345	0.1977405	0.1703245	0.1503427	2.5	
0.2337246	0.2069339	0.1930899	0.1660150	0.1468386	2.55	
0.2284909	0.2024497	0.1886529	0.1619272	0.1435630	2.6	
0.2234711	0.1981694	0.1844187	0.1580473	0.1404976	2.65	
0.2186563	0.1940813	0.1803764	0.1543623	0.1376251	2.7	
0.2140379	0.1901741	0.1765158	0.1508596	0.1349288	2.75	
0.2096072	0.1864367	0.1728271	0.1475273	0.1323931	2.8	
0.2053562	0.1828588	0.1693006	0.1443539	0.1300028	2.85	
0.2012767	0.1794305	0.1659273	0.1413287	0.1277438	2.9	
0.1973608	0.1761422	0.1626983	0.1384412	0.1256026	2.95	
0.1936009	0.1729851	0.1596052	0.1356819	0.1235666	3	
0.1899896	0.1699506	0.1566400	0.1330416	0.1216238	3.05	
0.1865196	0.1670306	0.1537950	0.1305116	0.1197633	3.1	
0.1831839	0.1642175	0.1510629	0.1280839	0.1179746	3.15	
0.1799756	0.1615044	0.1484369	0.1257511	0.1162484	3.2	
0.1768882	0.1588845	0.1459102	0.1235063	0.1145758	3.25	
0.1739151	0.1563516	0.1434768	0.1213430	0.1129489	3.3	
0.1710502	0.1539002	0.1411308	0.1192556	0.1113605	3.35	
0.1682876	0.1515250	0.1388668	0.1172388	0.1098044	3.4	
0.1656212	0.1492213	0.1366797	0.1152880	0.1082748	3.45	
0.1630457	0.1469848	0.1345649	0.1133991	0.1067670	3.5	
0.1605555	0.1448117	0.1325180	0.1115685	0.1052769	3.55	
0.1581456	0.1426988	0.1305350	0.1097933	0.1038014	3.6	
0.1558108	0.1406432	0.1286124	0.1080711	0.1023380	3.65	
0.1535465	0.1386424	0.1267471	0.1064000	0.1008850	3.7	
0.1513480	0.1366948	0.1249360	0.1047788	0.0994415	3.75	
0.1492111	0.1347987	0.1231769	0.1032067	0.0980075	3.8	
0.1471314	0.1329533	0.1214675	0.1016837	0.0965836	3.85	
0.1451052	0.1311581	0.1198062	0.1002101	0.0951713	3.9	
0.1431286	0.1294132	0.1181917	0.0987869	0.0937729	3.95	
0.1411981	0.1277189	0.1166229	0.0974156	0.0923914	4	
0.1393103	0.1260763	0.1150993	0.0960984	0.0910307	4.05	
0.1374621	0.1244867	0.1136207	0.0948378	0.0896953	4.1	
0.1356507	0.1229521	0.1121871	0.0936373	0.0883907	4.15	
0.1338732	0.1214748	0.1107991	0.0925004	0.0871231	4.2	
0.1321271	0.1200577	0.1094576	0.0914316	0.0858994	4.25	
0.1304102	0.1187041	0.1081639	0.0904358	0.0847275	4.3	
0.1287203	0.1174177	0.1069195	0.0895186	0.0836157	4.35	
0.1270555	0.1162030	0.1057265	0.0886858	0.0825736	4.4	
0.1254142	0.1150645	0.1045873	0.0879441	0.0816111	4.45	
0.1237948	0.1140075	0.1035046	0.0873008	0.0807392	4.5	
0.1221961	0.1130377	0.1024815	0.0867635	0.0799696	4.55	
0.1206170	0.1121612	0.1015215	0.0863405	0.0793147	4.6	
0.1190565	0.1113848	0.1006286	0.0860407	0.0787878	4.65	
0.1175141	0.1107154	0.0998069	0.0858736	0.0784029	4.7	
0.1159893	0.1101607	0.0990610	0.0858490	0.0781749	4.75	
0.1144818	0.1097286	0.0983959	0.0859775	0.0781194	4.8	
